child,parent,description_child,description_parent,title,author,isbn,pubname,pubyear
e123tsc,e100,E123TSC,E100,The Spanish conquistadores , F. A. Kirkpatrick,,Black,1946
e123ct,e100,E123CT,E100,Conquest : the destruction of the American Indios , Massimo. Livi Bacci,0745640001; 9780745640006; 074564001X; 9780745640013,Polity,2008
e123sei,e100,E123SEI,E100,Spain's empire in the New World : the role of ideas in institutiol and social change , Colin M. MacLachlan,9780520074101; 0520074106,University of California Press,1991
e123sap,e100,E123SAP,E100,Spain and Portugal and the New World; 1492-1700 , Lyle N. McAlister,9780196480466; 0196480469,OUP,1984
e123sei,e100,E123SEI,E100,Spanish explorers in the southern United States; 1528-1543., Lyle N. McAlister,,Barnes,1959
e123tco,e100,E123TCO,E100,The conquest of America : the question of the other , Tzvetan Todorov,9780060151805; 0060151803,Harper & Row,1984
e125tlo,e100,E125TLO,E100,The life of Las Casas , Arthur Helps,,Bell,1896
e125hds,e100,E125HDS,E100,Herndo de Soto : together with an account of one of his captains; Goncalo Silvestre , R. B. 1852-1936. (Robert Bontine) Cunninghame Graham,,Heinemann,1903
e125bdl,e100,E125BDL,E100,Bartolomé de Las Casas in history: toward an understanding of the man and his work , R. B. 1852-1936. (Robert Bontine) Cunninghame Graham,9780875809878; 0875809871,Cornell University Press,2008
e125tma,e100,E125TMA,E100,The marvellous adventure of Cabeza de Vaca : also; Malinche , Haniel Long,9780285647091; 0285647091,Souvenir Press,1972
e125thd,e100,E125THD,E100,"The Herndo de Soto expedition : history; historiography and ""discovery"" in the Southeast ", Haniel Long,9780803221574; 0803221576,U of Nebraska P,1997
e127eea,e100,E127EEA,E100,Early English and French voyages; chiefly from Hakluyt; 1534-1608 , H. S. Burrage,,Barnes,1959
e127haa,e100,E127HAA,E100,Humanism and America : an intellectual history of English colonisation; 1500-1625 , Andrew. Fitzmaurice,9780521822251; 0521822254; 9780521036184; 0521036186,Cambridge University Press,2003
e127us,e100,E127US,E100,Undreamed shores : England's wasted empire in America , Michael. Foss,9780245519826; 0245519823,Harrap,1974
e127edo,e100,E127EDO,E100,English discovery of America to 1585 , F. T. McCann,,King's Crown P,1952
e127eat,e100,E127EAT,E100,England and the discovery of America; 1481-1620 : from the Bristol voyages of the fifteenth century to the Pilgrim settlement at Plymouth : the exploration; exploitation; and trial-and-error colonization of North America by the English , David B. Quinn,,Knopf,1973
e127tea,e100,E127TEA,E100,The Elizabethans' America : a collection of early reports by Englishmen on the New World , David B. Quinn,,Arnold,1965
e129hh,e100,E129HH,E100,Henry Hudson , Llewelyn. Powys,,John Lane,1927
e129tdo,e100,E129TDO,E100,The discoverie of the large; rich; and bewtiful Empyre of Guia , Walter Raleigh,1849022356; 9781849022354,Benediction Books,2010
e129swr,e100,E129SWR,E100,Sir Walter Ralegh's Discoverie of Guia , Walter Raleigh,9780904180879; 0904180875,Hakluyt Society,2006
e131lnf,e100,E131LNF,E100,Les nouvelles Frances : France in America; 1500 to 1815 : an imperial perspective , Philip P. Boucher,9780916617325; 0916617327,John Carter Brown Library,1989
e137tdd,e100,E137TDD,E100,These daring disturbers of the public peace : the struggle for property and power in early New Jersey , Brendan McConville,9780812218596; 0812218590,University of Pennsylvania Press,2003
e141hho,e100,E141HHO,E100,Hidden histories of exploration : researching the RGS-IBG Collections , Felix. Driver,1905846304; 9781905846306,Royal Holloway University of London in association with the Royal Geographical Society (with IBG),2009
e141des,e100,E141DES,E100,Discoverers; explorers; settlers : the diligent writers of early America , Wayne. Franklin,9780226260716; 0226260712; 9780226260723; 0226260720,University of Chicago Press,1979
e141nwe,e100,E141NWE,E100,New World encounters , Wayne. Franklin,9780520080201; 0520080203; 9780520080218; 0520080211,U of California P,1993
e141ia,e100,E141IA,E100,Inventing America : Spanish historiography and the formation of Eurocentrism , José Rabasa,9780806125398; 080612539X,U of Oklahoma P,1993
e15aoa,e10,E15AOA,E10,Atlas of American history , E. W. Fox,,OUP,1964
e155nas,e100,E155NAS,E100,Nickmes and Sobriquets of U.S. Cities; States and Counties , J. N. Kane,9780810812550; 081081255X,Scarecrow P,1979
e155ap,e100,E155AP,E100,American place-mes : a concise and selective dictiory for the continental United States of America , George R. Stewart,,Oxford University Press,1970
e155mot,e100,E155MOT,E100,mes on the land : a historical account of place-ming in the United States , George R. Stewart,,Random House,1945
e155hao,e100,E155HAO,E100,Historical atlas of the United States , E. B. Wesley,,Philip,1956
e156htv,e100,E156HTV,E100,How to visit America and enjoy it , Alan Arnold,,Putm,1964
e156lat,e100,E156LAT,E100,Look at the U.S.A.., Alan Arnold,,Houghton Mifflin,1955
e157tah,e100,E157TAH,E100,The American Heritage book of great historic places., Alan Arnold,,American Heritage,1957
e158tus,e100,E158TUS,E100,The United States; with an excursion into Mexico : a handbook for travellers; 1893 , Karl. Baedeker,,Da Capo,1971
e158aw,e100,E158AW,E100,America's wonderlands : the scenic tiol parks and monuments of the United States.,undefined tiol Geographic Society (U.S.).,,The Society,1959
e159tuo,e100,E159TUO,E100,The unveiling of the tiol icons : a plea for patriotic iconoclasm in a tiolist era , Albert. Boime,9780521570671; 0521570670,CUP,1998
e159ihh,e100,E159IHH,E100,Interpreting historic house museums , Albert. Boime,0759102503; 9780759102507; 0759102511; 9780759102514,AltaMira,2002
e159wis,e100,E159WIS,E100,Written in stone : public monuments in changing societies , Sanford Levinson,9780822322207; 082232220X,Duke UP,1998
e159vft,e100,E159VFT,E100,Voices from the back stairs : interpreting servants' lives at historic house museums , Jennifer Pustz,0875806228; 9780875806228,Northern Illinois University Press,2010
e159rtp,e100,E159RTP,E100,Reclaiming the past : landmarks of women's history , Jennifer Pustz,9780253338426; 0253338425,India UP,1992
e159cap,e100,E159CAP,E100,Colonials and patriots : historic places commemorating our forebears 1700-1783 , F. B. Sarles,,US Department of the Interior tiol Park Service,1964
e159faf,e100,E159FAF,E100,Founders and frontiersmen : historic places commemorating early tionhood and the westward movement; 1783-1828.,undefined United States. tiol Park Service.,,USGPO,1968
e16pot,e10,E16POT,E10,Program of the history of American Indians , P. Armillas,,Pan American Union,1958
e16dta,e10,E16DTA,E10,Do the Americans have a common history? A critique of the Bolton theory , Lewis. Hanke,,Knopf,1964
e16tcm,e10,E16TCM,E10,The critical method in historical research and writing , H. C. Hockett,,Macmillan,1955
e16aho,e10,E16AHO,E10,A history of American history , M. Kraus,,Farrar,1937
e16hia,e10,E16HIA,E10,Historical interpretations and American historianship , J. B. Sanders,,Antioch P,1966
e160aap,e100,E160AAP,E100,An American primer , Daniel J. 1914-2004. (Daniel Joseph) Boorstin,,University of Chicago P,1966
e160aho,e100,E160AHO,E100,A history of American life and thought , Nelson Manfred Blake,,McGraw-Hill,1963
e160aat,e100,E160AAT,E100,America and the Image of Europe : Reflections on American Thought , Daniel J. 1914-2004. (Daniel Joseph) Boorstin,,Meridian Books,1960
e160ac,e100,E160AC,E100,American civilization : an introduction to the social sciences , M. Boyd,,Allyn and Bacon,1964
e160asi,e100,E160ASI,E100,American studies in honor of William Kenneth Boyd , W. K. Boyd,,Duke UP,1940
e160tpa,e100,E160TPA,E100,The polite Americans : 300 years of more or less good behaviour , Gerald Carson,,Macmillan,1967
e160lla,e100,E160LLA,E100,Life; liberty and the pursuit of happiness : a social history of the United States of America in documents , Joan M. 1930- (Joan Mary) Chandler,,OUP,1971
e160btt,e100,E160BTT,E100,Breakthrough to the Great Society , D. C. Coyle,,Ocea Publications,1965
e160iot,e100,E160IOT,E100,Inventors of the Promised Land , L. J. Friedman,9780394472638; 0394472632,Knopf,1975
e160ta,e100,E160TA,E100,The Americans : a social history of the United States 1587-1914 , J. C. Furs,,Longman,1970
e160tbc,e100,E160TBC,E100,"The beer can by the highway : essays on what's ""American"" about America ", J. A. Kouwenhoven,,Doubleday,1961
e160atb,e100,E160ATB,E100,America through British eyes , Allan Nevins,,OUP,1948
e160tnp,e100,E160TNP,E100,The Newberry papers in family and community history : thirteen papers presented at the conference.,undefined Newberry Library Conference on Quantitative and Social Science Approaches in Early American History Chicago) (1977 :,,Newberry Library,1977
e160tac,e100,E160TAC,E100,This almost chosen people : essays in the history of American ideas , Russel B. 1913- (Russel Blaine) Nye,,Michigan State UP,1966
e160tus,e100,E160TUS,E100,The United States , P. O'Donovan,,Time Incorporated,1965
e160ar1,e100,E160AR1,E100,American reformers; 1870-1920 : progressives in word and deed , P. O'Donovan,9780742527621; 074252762X; 9780742527638; 0742527638,Rowman & Littlefield Publishers,2006
e160tap,e100,E160TAP,E100,The American people : their civilization and character , H. B. Parkes,,Eyre,1949
e160ar,e100,E160AR,E100,America remembers : our best-loved customs and traditions , S. Rapport,,Hanover House,1956
e160sol,e100,E160SOL,E100,Seeds of liberty : the genesis of the American mind , M. Savelle,,U of Washington P,1965
e160taa,e100,E160TAA,E100,The American as reformer , Arthur M. 1888-1965. (Arthur Meier) Schlesinger,,Harvard UP,1950
e160tsc,e100,E160TSC,E100,The stammering century , G. V. Seldes,,Harper,1965
e160aah,e100,E160AAH,E100,America and her commentators; with a critical sketch of travel in the United States , H. T. Tuckerman,,Antiquarian P,1961
e160ff,e100,E160FF,E100,Freedom's ferment : phases of American social history from the colonial period to the outbreak of the Civil War , A. F. Tyler,9780061310744; 0061310743,Harper,1962
e160tso,e100,E160TSO,E100,The saga of American society : a record of social aspiration; 1607-1937 , Dixon Wecter,,Scribner's,1937
e160tfi,e100,E160TFI,E100,The future in America : a search after realities , H. G. 1866-1946. (Herbert George) Wells,,Chapman,1906
e161tuw,e100,E161TUW,E100,The urgent west : an introduction to the idea of the United States , Walter Ernest Allen,,Baker,1969
e161at1,e100,E161AT1,E100,America's taste 1851-1959 : the cultural events of a century reported by contemporary observers in the pages of the New York Times , Walter Ernest Allen,,Simon and Schuster,1959
e161wks,e100,E161WKS,E100,Who killed society? , C. Amory,,Harper,1960
e161iat,e100,E161IAT,E100,Individualism and tiolism in American ideology , Y. Arieli,,Harvard UP,1964
e161coa,e100,E161COA,E100,City on a hill : a history of ideas and myths in America , Loren Baritz,,Wiley,1964
e161ala,e100,E161ALA,E100,A literary and historical atlas of America , J. G. 1860-1920. (John George) Bartholomew,,Dent,1946
e161tai,e100,E161TAI,E100,The American identity : a college reader , Sam S. Baskett,,Heath,1962
e161far,e100,E161FAR,E100,Freedom and responsibility in the American way of life , Carl Lotus Becker,,Random House,1955
e161tpo,e100,E161TPO,E100,The promise of America : an historical enquiry , John Morton Blum,,Houghton Mifflin,1966
e161taa,e100,E161TAA,E100,The American adventure : a study of bourgeois civilisation , M. J. Bonn,,John Day,1934
e161tgo,e100,E161TGO,E100,The genius of American politics , Daniel J. 1914-2004. (Daniel Joseph) Boorstin,,U of Chicago P,1958
e161at,e100,E161AT,E100,American themes , D. W. 1900-1974. (Denis William) Brogan,,Hamilton,1948
e161tac,e100,E161TAC,E100,The American character , D. W. 1900-1974. (Denis William) Brogan,,Viking Books,1956
e161tap,e100,E161TAP,E100,The American problem , D. W. 1900-1974. (Denis William) Brogan,,Hamilton,1944
e161tai,e100,E161TAI,E100,The American Idea of Mission : Concepts of tiol Purpose and Destiny , Edward Mcll Burns,,Rutgers UP,1957
e161tmt,e100,E161TMT,E100,Their majesties the mob , John Walton Caughey,,U of Chicago P,1960
e161tdv,e100,E161TDV,E100,The democratic vista : a dialogue on life and letters in contemporary America , R. V. Chase,,Doubleday,1958
e161eva,e100,E161EVA,E100,Europe views America : a critical evaluation , E. W. Chester,,Public Affairs P,1962
e161at,e100,E161AT,E100,American thought : a critical sketch , Morris R. 1880-1947. (Morris Raphael) Cohen,,Collier Books,1962
e161lii,e100,E161LII,E100,Living ideas in America , Henry Steele Commager,,Harper,1951
e161tao,e100,E161TAO,E100,The art of democracy : a concise history of popular culture in the United States , Jim Cullen,9780853459200; 0853459207,Monthly Review P,1996
e161tgo,e100,E161TGO,E100,The growth of American thought , Merle 1897-1996. (Merle Eugene) Curti,9780878558797; 0878558799,Transaction Books,1982
e161aho,e100,E161AHO,E100,A history of recreation : America learns to play , Foster Rhea Dulles,,Appleton-Century-Crofts,1965
e161alt,e100,E161ALT,E100,America learns to play : a history of popular recreation; 1607-1940 , Foster Rhea Dulles,,Peter Smith,1963
e161iat,e100,E161IAT,E100,Inventing American tradition : from the Mayflower to Cinco de Mayo , Jack David Eller,9781780239866; 1780239866,Reaktion Books,2018
e161tdo,e100,E161TDO,E100,The decline of American liberalism , Arthur Alphonse Ekirch,,Longmans,1955
e161oa,e100,E161OA,E100,Our America , F. Waldo,,Boni and Liveright,1919
e161tpo,e100,E161TPO,E100,The Pageant of America : a Pictorial History of the United States , Ralph Henry Gabriel,,Yale UP,1925
e161tco,e100,E161TCO,E100,The course of American democratic thought , Ralph Henry Gabriel,,Rold Press,1956
e161sat,e100,E161SAT,E100,Socialism and the American spirit , N. P. Gilman,,Houghton Mifflin,1893
e161tbk,e100,E161TBK,E100,Their brothers' keepers : moral stewardship in the United States; 1800-1865 , C. S. Griffin,,Rutgers UP,1960
e161cot,e100,E161COT,E100,Crisis of the American mind , L. Gurko,,Rider,1956
e161tdo,e100,E161TDO,E100,The dimensions of liberty , Oscar Handlin,,Harvard UP,1961
e161twa,e100,E161TWA,E100,This was America , Oscar Handlin,,Harvard UP,1949
e161aaf,e100,E161AAF,E100,America and French culture; 1750-1848 , Howard Mumford. Jones,,U of Caroli P,1927
e161osn,e100,E161OSN,E100,O strange new world : American culture : the formative years , Howard Mumford. Jones,,Viking,1964
e161tpo,e100,E161TPO,E100,The pursuit of happiness , Howard Mumford. Jones,,Harvard UP,1953
e161cpa,e100,E161CPA,E100,Cultural pluralism and the American idea : an essay in social philosophy , H. M. Kallen,,U of Pennsylvania P,1956
e161at,e100,E161AT,E100,American tiolism : an interpretative essay , Hans Kohn,,Collier Books,1961
e161mc,e100,E161MC,E100,Material culture : a research guide , Leo Marx,9780700602759; 0700602755,UnivPof Kansas,1985
e161eit,e100,E161EIT,E100,Errand into the wilderness , Perry. Miller,0674261550; 9780674261556,Belkp Press,1984
e161mda,e100,E161MDA,E100,Manifest destiny and mission in American history : a reinterpretation , Frederick Merk,,Knopf,1963
e161tt,e100,E161TT,E100,ture's tion , Perry Miller,9780674605503; 0674605500,Belkp P,1967
e161tat,e100,E161TAT,E100,The American temper : patterns of our intellectual heritage , Richard David Mosier,,U of California P,1952
e161tgd,e100,E161TGD,E100,The golden day : a study in American experience and culture , Lewis Mumford,,Boni,1926
e161tio,e100,E161TIO,E100,The irony of American history , Reinhold Niebuhr,,Nisbet,1952
e161tae,e100,E161TAE,E100,The American experience : an interpretation of the history and civilization of the American people , H. B. Parkes,,Vintage Books,1959
e161rar,e100,E161RAR,E100,Radicalism and reform : the Vrooman family and American social thought; 1837-1937 , R. E. Paulson,,U of Kentucky P,1968
e161pad,e100,E161PAD,E100,Puritanism and democracy , R. B. Perry,,Vanguard P,1944
e161ja,e100,E161JA,E100,Johnny Appleseed : man and myth , R. Price,,Smith,1967
e161soa,e100,E161SOA,E100,Santaya on America : essays; notes and letters on American life; literature and philosophy , George Santaya,,Harcourt,1968
e161poa,e100,E161POA,E100,Paths of American thought , Arthur M. Schlesinger,,Chatto,1942 et
e161cta,e100,E161CTA,E100,Civil tongues and polite letters in British America , David S. Shields,9780807823514; 0807823511,U of North Caroli P,1997
e161sfi,e100,E161SFI,E100,Social forces in American history , A. M. Simons,,The Book League of America,1929
e161aa,e100,E161AA,E100,America : a re-appraisal , H. E. Stearns,,Hillman Curl,1937
e161ihi,e100,E161IHI,E100,Intellectual history in America , C. Strout,,Harper,1968
e161tai,e100,E161TAI,E100,The American image of the old world , C. Strout,,Harper,1963
e161rt,e100,E161RT,E100,Redeemer tion : the idea of America's millennial role , E. L. Tuveson,,U of Chicago P,1968
e161tus,e100,E161TUS,E100,The United States : a companion to American studies , Dennis. Welland,9780416415001; 0416415008,Methuen,1987
e161tjt,e100,E161TJT,E100,The Jeffersonian tradition in American democracy , C. M. Wiltse,,Hill & Wang,1960
e161tmo,e100,E161TMO,E100,The myth of the American frontier : its relevance to America; Cada and Australia , R. W. Winks,9780718511104; 0718511107,Leicester UP,1971
e161sat,e100,E161SAT,E100,Society and thought in America , H. Wish,,McKay,1950
e161saf,e100,E161SAF,E100,See America first : tourism and tiol identity; 1880-1940 , Marguerite S. Shaffer,9781560989530; 156098953X; 9781560989769; 1560989769,Smithsonian Institution,2001
e161wwe,e100,E161WWE,E100,With women's eyes : visitors to the New World 1775-1918 , Marguerite S. Shaffer,9780208023711; 0208023712,Archon,1993
e162ps1,e100,E162PS1,E100,Provincial society; 1690-1763 , James Truslow Adams,,Macmillan,1927
e162aas,e100,E162AAS,E100,Atlantic American societies : from Columbus through abolition 1492-1888 , James Truslow Adams,9780415080736; 0415080738,Routledge,1992
e162cit,e100,E162CIT,E100,Cities in the wilderness : the first century of urban life in America 1625-1742 , Carl. Bridenbaugh,,Knopf,1960
e162teo,e100,E162TEO,E100,The eyes of discovery : the pageant of North America as seen by the first explorers , John Bakeless,,Dover,1961
e162tnc,e100,E162TNC,E100,The new country : a social history of the American frontier; 1776-1890 , Richard A. Bartlett,,OUP,1974
e162ta,e100,E162TA,E100,The Americans : the colonial experience , Daniel J. 1914-2004. (Daniel Joseph) Boorstin,,Random House,1958 et
e162ttt,e100,E162TTT,E100,Travels through the middle settlements in North-America in the years 1759 and 1760; with observations upon the state of the colonies , A. Burby,,Cornell UP,1960
e162ama,e100,E162AMA,E100,A most amazing scene of wonders : electricity and enlightenment in early America , James Delbourgo,9780674022997; 0674022998,Harvard University Press,2006
e162cal,e100,E162CAL,E100,Circles and lines : the shape of life in early America , John. Demos,9780674013247; 0674013247,Harvard University Press,2004
e162som,e100,E162SOM,E100,Seasons of misery : catastrophe and colonial settlement in early America , Kathleen Donegan,0812245407; 9780812245400,University of Pennsylvania Press,2014
e162j1,e100,E162J1,E100,Jourl; 1679-1680 , J. Danckaerts,,Barnes,1959
e162dau,e100,E162DAU,E100,Diversity and unity in early North America , J. Danckaerts,9780415087995; 0415087996,Routledge,1993
e162aho,e100,E162AHO,E100,A history of travel in America , Seymour Dunbar,,Tudor,1937
e162tto,e100,E162TTO,E100,The transit of civilization from England to America in the seventeenth century , E. Eggleston,,Beacon Press,1959
e162as,e100,E162AS,E100,Albion's seed : four British folkways in America , David Hackett Fischer,9780195069051; 0195069056,Oxford University Press,1991
e162moa,e100,E162MOA,E100,Memoirs of an American lady; with sketches of manners and scenes in America as they existed previous to the Revolution; with unpublished letters and a memoir of Mrs. Grant by James Grant Wilson , Anne MacVicar Grant,,Dodd,1903
e162tac,e100,E162TAC,E100,The American colonial mind and the classical tradition : essays in comparative culture , R. M. Gummere,,Harvard UP,1963
e162gp,e100,E162GP,E100,Gentleman's progress : the Itinerarium of Alexander Hamilton; 1744 , Alexander Hamilton,,U of North Caroli P,1948
e162aa1,e100,E162AA1,E100,America at 1750 : a social portrait , Richard Hofstadter,9780394717951; 0394717953; 9780224007108; 0224007106,Cape,1972 et
e162ai,e100,E162AI,E100,American incartion : the individual; the tion; and the continent , Myra. Jehlen,9780674024267; 0674024265,Harvard UP,1986
e162tao,e100,E162TAO,E100,The America of 1750 : Peter Kalm's travels in North America , P. Kalm,,Dover,1966
e162pop,e100,E162POP,E100,People of Paradox : an Inquiry Concerning the Origins of American Civilization , Michael G. Kammen,9780394719337; 0394719336; 9780394460772; 0394460774,Knopf,1972
e162fct,e100,E162FCT,E100,From colonials to provincials : American thought and culture; 1680-1760 , Ned C. Landsman,9780801487019; 0801487013,Cornell University Press,2000
e162mam,e100,E162MAM,E100,Materialism and morality in the American past : themes and sources; 1680-1860 , Joyce Oldham Appleby,,Addison-Wesley,1974
e162tit,e100,E162TIT,E100,Travels in the American Colonies , N. D. Mereness,,Antiquarian P,1961
e162bop,e100,E162BOP,E100,Birds of passage : five Englishwomen in search of America , Richard. Mullen,9780715624296; 0715624296,Duckworth,1994
e162oci,e100,E162OCI,E100,Of consuming interests : the style of life in the eighteenth century , Richard. Mullen,9780813914138; 0813914132,UP of Virginia for the Society,1994
e162pl,e100,E162PL,E100,Paradox lost : free will and political liberty in American culture; 1630-1760 , Jon. Pahl,9780801843341; 0801843340,Johns Hopkins UP,1992
e162tco,e100,E162TCO,E100,The coming of the white man; 1492-1848 , H. I. Priestley,,Macmillan,1929
e162hea,e100,E162HEA,E100,How early America sounded , Richard Cullen. Rath,0801472725; 9780801472725,University Presses Marketing distributor; Cornell University Press,2005
e162tad,e100,E162TAD,E100,Taverns and drinking in early America , Sharon V. (Sharon Vineberg) Salinger,9780801878992; 0801878993,Johns Hopkins UP,2004
e162da1,e100,E162DA1,E100,Discovering America; 1700-1875 , H. Savage,9780060137823; 0060137827,Harper,1979
e162sa,e100,E162SA,E100,Seventeenth-century America : essays in colonial history , James Morton. Smith,,UP of North Caroli,1959
e162tww,e100,E162TWW,E100,The way we lived : essays and documents in American social history , James Morton. Smith,9780395959602; 0395959608,Houghton Mifflin,2000
e162tfo,e100,E162TFO,E100,The Founding of American Civilization : the Middle Colonies , Thomas Jefferson Wertenbaker,,Scribner's,1938
e162tfa,e100,E162TFA,E100,The first Americans 1607-1690 , Thomas Jefferson Wertenbaker,,Macmillan,1927
