CallNumber,Author,Title,ISBN,PubName,PubYear,CB
E814 .C627,Michael J Cohen,Truman and Israel ,0520068041;9780520068049,Berkeley : University of California Press,1990,no
E183.8.I55 G37,Mark J Gasiorowski,US foreign policy and the shah : building a client state in Iran ,0801424127;9780801424120,Ithaca,1991,no
JX1705 .M57,Roger Morris,Uncertain greatness : Henry Kissinger and American foreign policy ,0704321661;9780704321663,London : Quartet,1977,no
E840.8.N67 A3,Oliver L North with William Novak,Under fire : an American story ,0060183349;9780060183349,New York,1992,no
JX1977.2.P34 H33,editor, George J Tomeh,United Nations Resolutions on Palestine and the Arab-Israeli conflict 1947-1974 ,,Beirut : Institute for Palestine Studies,no
E183.8.M65 B55,Leon Borden Blair ; foreword  Mohammed el Fasi,Western window in the Arab world ,0292700830;9780292700833,Austin : University of Texas Press, F70,no
JX5419.5 .W5,testimony given to the Nordic Commission, Oslo, October 1982,Witness of war crimes in Lebanon ,0863720056;9780863720055,no
E183.8.I7 R34,Mansur Rafizadeh,Witness : from the Shah to the secret arms deal : an insider's account of US involvement in Iran ,0688073697;9780688073695,New York : W Morrow,1987,no
E840.8.K58 A38,Henry Kissinger,Years of upheaval ,718121155,London : Weidenfeld and Nicolson : Michael Joseph,1982,no
E183.8.I55 L35,L Bruce Laingen,Yellow ribbon : the secret journal of Bruce Laingen ,0028810309 : $23.00;9780028810300,Washington : Brassey's (US),1992,no
F591 .S54,Hampton Sides,Blood and thunder : an epic of the American West ,0385507771;9780385507776,New York : Doubleday,2006,no
E269.N3 S33,Simon Schama,Rough crossings : Britain the slaves and the American Revolution ,006053916X;9780060539160;9780060539160,New York : Ecco,2006,no
F1054.5.Q3 G85,Simon Schama,Québec City,9782894648346;2894648340,Montréal,2009,no
E842.9 .B835,Vincent Bugliosi,Four days in November : the assassination of President John F Kennedy ,9780393332155;0393332152,New York : WW Norton & Co,2007,no
JZ6385 .F47,Niall Ferguson,The war of the world : history's age of hatred ,0141013826;9780141013824,London ; New York : Penguin,2007,no
E169.04.B778,Bill Bryson,I'm a stranger here myself : notes on returning to America after twenty years away ,076790382X;9780767903820,New York : Broadway Books,2000,no
E118 .D84,Martin Dugard,The last voyage of Columbus : being the epic tale of the great captain's fourth expedition including accounts of swordfight mutiny shipwreck gold war hurricane and discovery ,0316828831;9780316828833,New York : Little,2005,no
E99.C37 C35,Craig Childs,House of rain : tracking a vanished civilization across the American Southwest ,0316608173;9780316608176,New York : Little,2007,no
F1219.73 .A25,Peter Ackroyd,Cities of blood : voyages through time ,0756607299;9780756607296,New York,2004,no
F1219 .L66,Maria Longhena,Ancient Mexico : the history and culture of the Maya Aztecs and other pre-Columbian peoples ,0760783810;9780760783818,New York : Barnes & Noble Books,2006,no
JQ 1830.A58 D69,Alan Dowty,The Jewish state : a century later ,0520209419;9780520209411,Berkeley : University of California Press,1998,no
E902 .H69,Patrick Clawson, editor,How to build a new Iraq after Saddam ,0944029825;9780944029824,Washington,no
JZ 1480 .A57 A3,John K Cooley,Unholy wars : Afghanistan America and international terrorism ,0745316913;9780745316918;0745316921;9780745316925,London ; Sterling,2000,no
JV8739 .B73,Laurie A Brand,Citizens abroad : emigration and the state in the Middle East and North Africa ,0521858054;9780521858052,Cambridge,2006,no
JQ1841.A58 Y59,Sarah Yizraeli,The remaking of Saudi Arabia : the struggle between King Saʻud and Crown Prince Faysal 1953-1962 ,9652240265;9789652240262,Tel Aviv,1997,no
E183.8.J6 A4,Madiha Rashid Al Madfai,Jordan the United States and the Middle East peace process 1974-1991 ,0521415233;9780521415231,Cambridge [England] ; New York,1993,no
JX238.I7 M36,Wayne Mapp,The Iran-United States Claims Tribunal : the first ten years 1981-1991 : an assessment of the tribunal's jurisprudence and its contribution to international arbitration ,0719037905;9780719037900,Manchester ; New York : Manchester University Press ; New York,1993,no
F1233 .H65,Richard Hill and Peter Hogg,A Black corps d'élite : an Egyptian Sudanese conscript battalion with the French Army in Mexico 1863-1867 and its survivors in subsequent African history ,087013339X;9780870133398,East Lansing : Michigan State University Press,1995,no
JQ1840 .H47,Michael Herb,All in the family : absolutism revolution and democracy in the Middle Eastern monarchies ,0791441679;9780791441671;0791441687;9780791441688,Albany : State University of New York Press,1999,no
E183.8.S25 B34,Robert Baer,Sleeping with the devil : how Washington sold our soul for Saudi crude ,1400050219;9781400050215,New York : Crown,2003,no
JC49 .W38,W Montgomery Watt,Islamic political thought ,0748610987;9780748610983,Edinburgh : At the University Press,1998,no
JC328.3 .F37,Suraiya Faroqhi,Coping with the state : political conflict and crime in the Ottoman Empire 1550-1720 ,9754280762;9789754280760,Istanbul : Isis Press,1995,no
JC49 .B58,Antony Black,The history of Islamic political thought : from the prophet to the present ,0748614710;9780748614714;0748614729;9780748614721,Edinburgh : Edinburgh University Press,2001,no
JQ3898.A1 K37,May Kassem ; with a foreword  Raymond Hinnebusch,In the guise of democracy : governance in contemporary Egypt ,0863722547;9780863722547,Reading : Ithaca Press,1999,no
E903 .D47,special issue editors, Stanley Hauerwas and Frank Lentricchia,Dissent from the homeland : essays after September 11 ,0822365405;9780822365402,Durham,no
JQ3831 .S73,edited  Nelly Hanna,The State and its servants : administration in Egypt from Ottoman times to the present ,9774243641;9789774243646,Cairo,1995,no
JQ1758.A2 T75,edited  Philip S Khoury and Joseph Kostiner,Tribes and state formation in the Middle East ,0520070798;9780520070790;0520070801;9780520070806;1850432457;9781850432456,Berkeley : University of California Press,1990,no
E183.8.I57 G38,F Gregory Gause III,US policy toward Iraq ,9948003233;9789948003236,Abu Dhabi,2002,no
JQ1830.A98 H376,Andrea Nüsse,Muslim Palestine : the ideology of Ḥamās ,9057023334;9789057023330;9057023342;9789057023347,Amsterdam : Harwood Academic Publishers,1998,no
JC49 .S1614,Amr Sabet,Liberalism and the contestation of Islamic sovereignty ,9948005139;9789948005131,Abu Dhabi : Emirates Center for Strategic Studies and Research,2003,no
JV8739 S43,Ian J Seccombe, with CH Bleaney & B Al-Najjar,International migration for employment in the Middle East : an introductory bibliography ,,[Durham] England : University of Durham,no
JC571 .H7698,edited  Walter Laqueur and Barry Rubin,The Human rights reader ,0452010268;9780452010260,New York : New American Library,1990,no
JA79 ,edited  Arthur L Caplan and Daniel Callahan,Ethics in hard times ,0306407906;9780306407901,New York : Plenum Press,E825,no
E886 .A3,Bill Clinton,My life : the early years V 1 ,1400096715;9781400096718,New York : Vintage Books,2005,no
E840.8 .A33,Marshall P Adair,Lessons from a diplomatic life : watching flowers from horseback ,1442220805;9781442220812,Lanham : Rowman & Littlefield Publishers,2013,no
JC31 .A53,"Benedict Anderson ; trad de l'anglais par Pierre- Emmanuel Dauzat""",Imagined communities Français+L'Imaginaire national : réflexions sur l'origine et l'essor du nationalisme ,2707125415;9782707125415,Paris : Ed La découverte,1996,no
JC599.M6 B46,"Benedict Anderson ; trad de l'anglais par Pierre- Emmanuel Dauzat""",Ben Barka vingt ans après : les droits de l'homme au Maroc,2868290191;9782868290199,Paris : Arcantère,1986,no
JV51 .P65,edited  Gregory Castle,Postcolonial discourses : an anthology ,0631210040;9780631210047;0631210059;9780631210054;9780631210954,Oxford UK ; Malden,2001,no
JV51 .C4,Aimé Césaire,Discours sur le colonialisme  suivi du Discours sur la négritude ,2708705318;9782708705319,Paris : Présence africaine,2004,no
JQ3198.A91 G37,Lise Garon ; foreword  Clovis Demers,Dangerous alliances : civil society the media and democratic transition in North Africa ,1842771604;9781842771600;1842771612;9781842771617,London ; New York : Zed Books,2003,no
JC381 .G7613,"Alain Grosrichard ; translated  Liz Heron ; with an introduction  Mladen Dolar""",Structure du sérail English+The sultan's court : European fantasies of the East ,1859848168;9781859848166;1859841228;9781859841228,London ; New York : Verso,1998,no
JV51 .M466,Albert Memmi,Portrait du colonisé précédé de portrait du colonisateur : et d'une préface de Jean-Paul Sartre ,2070705501;9782070705504,,1985,no
JV51 .M466,"Albert Memmi ; [translated from the French  Howard Greenfeld]""",Portrait du colonisé English+The colonizer and the colonized ,0285647717;9780285647718,,1974,no
E184.P33 S25,Edward W Said,Out of place : a memoir ,1862073708;9781862073708,Granta Books,1999,yes
E885 .S25,Edward W Said ; foreword  Tony Judt ; afterword  Wadie E Said,From Oslo to Iraq and the roadmap ,0747573433;9780747573432,London : Bloomsbury,2004,no
JC93 .A544,Dimiter Angelov,Imperial ideology and political thought in Byzantium (1204-1330) ,0521857031 hardback;9780521857031 hardback,,2007,no
JC66 .D47,Tomasz Derda,Arsinoitēs Nomos : administration of the Fayum under Roman Rule ,839182506X;9788391825068,Warsaw : Faculty of Law and Administration of Warsaw University,2006,no
F1019 F59 n,[] T Cuyler Young, Jr,Excavations at Godin Tepe: first progress report ,,[Toronto] : Royal Ontario Museum,no
JA84.C6 B35,Tongdong Bai,China : the political philosophy of the middle kingdom ,9781780320755;1780320752;9781780320762;1780320760,London ; New York : Zed Books,2012,no
JQ3096 .U52,edited  Mojúbàolú Olúfúnké Okome,Contesting the Nigerian state : civil society and the contradictions of self-organization ,9781137324528;113732452X,New York,2005,no
JN30 .P495,David Phinnemore and Lee McGowan,A dictionary of the European Union ,9781857436839;1857436830;9780203796955,Milton Park,2013,no
JZ5538 .R46,Judith Renner,Discourse normative change and the quest for reconciliation in global politics ,9780719088025;071908802X,Manchester ; New York : Manchester University Press ; New York : Distributed in the US exclusively by Palgrave Macmillan,2013,no
JF1525.A8 E2386,J Ramon Gil-Garcia, Centro de Investigación y Docencia Económicas (CIDE), Mexico,E-government success factors and measures : theories concepts and methodologies ,9781466640580;1466640588;9781466640597;9781466640603;146664060X,no
JN40 .E65,edited  Engin F Isin and Michael Saward,Enacting European citizenship ,9781107033962;1107033969,Cambridge : Cambridge University Press,2013,no
JN33.5 .G43,Michael J Geary,Enlarging the European Union : the commission seeking influence 1961-1973 ,9780230302808;0230302807,Houndmills,2013,no
JZ1570.A545 J65,Ann-Kristin Jonasson,The EU's democracy promotion and the Mediterranean neighbours : orientation ownership and dialogue in Jordan and Turkey ,9780415630061;0415630061;9780203759042,Milton Park,2013,no
JZ6369 .H57,edited  Bronwen Everill, University of Warwick, UK, and Josiah Kaplan, University of Oxford,no
JN40 .K54,edited  Raphaël Kies, Patrizia Nanz,Is Europe listening to us? : successes and failures of EU citizen consultations ,9781409454359;1409454355;9781409454366;9781472400598;1409454363;9781409454366;1472400593;9781472400598,Farnham,no
JF801 .M865,edited  Willem Maas,Multilevel citizenship ,9780812245158;0812245156,Philadelphia : University of Pennsylvania Press,2013,no
JZ1318 .A433,Aqueil Ahmad,New age globalization : meaning and metaphors ,9781137293411;1137293411,New York,2013,no
JF799.5 .N49,edited  Emmanuelle Avril, Professor of Contemporary British Politics and Society, Université Sorbonne Nouvelle, France, and Christine Zumello,no
JF2112.C3 P654,edited  Kostas Gouliamos, Antonis Theocharous, Bruce Newman, Stephan Henneberg,Political marketing : strategic 'campaign culture' ,no
JQ231 .P8245,edited  Meghna Sabharwal and Evan M Berman,Public administration in South Asia : India Bangladesh and Pakistan ,9781439869116;1439869111,Boca Raton,2013,no
JQ231 .M38,Kuldeep Mathur,Public policy and politics in India ,9780198077596;0198077599,New Delhi : Oxford University Press,2013,no
JZ1305 .R455,edited  RS Zaharna, Amelia Arsenault, Ali Fisher,Relational networked and collaborative approaches to public diplomacy : the connective mindshift ,9780415636070;0415636078;9780203082430,no
JV7590 .S52,edited  Ludger Pries,Shifting boundaries of belonging and new migration dynamics in Europe and China ,9780230369719;0230369715,Houndmills,2013,no
JQ1769.A15 S26,Tazreena Sajjad,Transitional justice in South Asia : a study of Afghanistan and Nepal ,9780415629973;0415629977;9780203431375,New York,2013,no
JF1081 .H68,Dan Hough, Professor of Politics, University of Sussex, UK,Corruption anti-corruption and governance  ,no
JC479 .T39,Peter Taylor-Goo,The double crisis of the welfare state and what we can do about it ,9781137328106;113732810X;9781137328113;9781137328120,Basingstoke,2013,no
JV7590 .R66,Christof Roos, University of Bremen, Germany,The EU and immigration policies : cracks in the walls of fortress Europe? ,9781137302557;1137302550,no
JZ1318 .B785,Karen M Buckley,Global civil society and transversal hegemony : the globalization-contestation nexus ,9780415698627;0415698626;9780203626580,Milton Park,2013,no
JZ5538 .G586,edited  Jackie Smith and Ernesto Verdeja,Globalization social movements and peacebuilding ,9780815633211;0815633211,Syracuse,2013,no
JZ1318 .G68,edited  Sophie Harman and David Williams,Governing the world? : cases in global governance ,9780415690409;0415690404;9780415690416;0415690412;9780203508398;0203508394,Abingdon,2013,no
JV305 .I75,edited  Graeme Morton and David A Wilson,Irish and Scottish encounters with indigenous peoples : Canada the United States New Zealand and Australia ,0773541500;9780773541504;9780773541511;0773541519,Montreal ; Ithaca : McGill-Queens University Press,2013,no
JC497 .G54,MFN Giglioli,Legitimacy and revolution in a society of masses : Max Weber Antonio Gramsci and the fin-de-siecle debate on social order ,9781412851626;1412851629,New Brunswick,2013,no
JN36 .K58,Heike Klüver,Lobbying in the European Union : interest groups lobbying coalitions and policy change ,9780199657445;0199657440,Oxford : Oxford University Press,2013,no
JZ1480 .R6,Johannes Gullestad Rø,Mechanistic realism and US foreign policy : a new framework for analysis ,9780415635394;041563539X;9780203093498,Milton Park,2013,no
JV6035 .M345,Huynh Truong Huy, editor,Migration : practices challenges and impact ,9781622576456;1622576454,Hauppauge,no
JC481 .E35,Geoff Eley,Nazism as Fascism : violence ideology and the ground of consent in Germany 1930-1945 ,9780415812627;0415812623;9780415812634;0415812631,Abingdon,2013,no
JZ6374 .E37,Håkan Edström and Dennis Gyllensporre,Political aspirations and perils of security : unpacking the military strategy of the United Nations ,9781137008718;1137008717,Houndmills,2013,no
JN1129.C7 B35,Stuart Ball,Portrait of a party : the Conservative Party in Britain 1918-1945 ,9780199667987;0199667985,Oxford [UK] : Oxford University Press,2013,no
JZ6385 .M85,Andrew Mumford,Proxy warfare ,9780745651187;0745651186;9780745651194;0745651194,Cambridge,2013,no
JZ4839 .R68,edited  Bob Reinalda,Routledge handbook of international organization ,9780415501439;0415501431;9780203405345;020340534X,Milton Park,2013,no
JC423 .U797,edited  Michael Cox, Timothy J Lynch and Nicolas Bouchet,US foreign policy and democracy promotion ,9780415679794;0415679796;9780415679800;041567980X;9780203550373;0203550374,New York,no
JN979 .A47,edited  Julie Gottlieb, Senior Lecturer in Modern History, University of Sheffield and Richard Toye, Professor of Modern History, University of Exeter,no
JZ1308 .D35,Fred Dallmayr,Being in the world : dialogue and cosmopolis ,9780813141916;0813141915;9780813141923;9780813141930,Lexington : University Press of Kentucky,2013,no
JZ1305 .B83,Adrian Budd,Class states and international relations : a critical appraisal of Robert Cox and neo-Gramscian theory ,9780415681865;0415681863;9780203486733,Milton Park,2013,no
JZ5595 .S34,Lisa Schirch,Conflict assessment and peacebuilding planning : toward a participatory approach to human security ,9781565495784;1565495780;9781565495791;1565495799;9781565495807;9781565495814,Boulder,2013,no
JZ1570.A5 E8,Gergana Noutcheva, Karolina Pomorska and Giselle Bosse editors,The EU and its neighbours : values versus security in European foreign policy ,9780719086762;0719086760,Manchester ; New York : Manchester University Press ; New York : Distributed in the US exclusively by Palgrave Macmillan,no
JN175 .E87,edited  Ga Mahlberg, Dirk Wiemann,European contexts for English republicanism ,9781409455561;1409455564;9781409455578;1409455572,Farnham,no
JN13 .E973,edited  Charlotte Bretherton and Michael Mannin,The Europeanization of European politics ,9781137275387;1137275383,New York : Palgrave Macmillan,2013,no
JZ1318 .W45,Thomas G Weiss,Global governance : what? why? whither? ,9780745660455;0745660452;9780745660462;0745660460,Cambridge,2013,no
JN318 .M69,Janice Morphet,How Europe shapes British public policy  ,9781447300465;1447300467,Bristol ; Chicago : Policy Press,2013,no
JZ6300 .A76,Jim Armstrong,Improving international capacity development : bright spots ,9781137310101;1137310103,Houndmills,2013,no
JN96.A38 M548,edited  Karl Cordell, Timofey Agarin and Alexander Osipov,Institutional legacies of communism : change and continuities in minority protection ,9780415638739;0415638739;9780203768914,Milton Park,no
JZ1238.F73 B74,Henrik Breitenbauch,International relations discipline in France : writing between discipline and state ,9780415630047;0415630045;9780203403167,Milton Park,2013,no
JA71 .G647,Maria Golubeva,Models of political competence : the evolution of political norms in the works of Burgundian and Habsburg court historians c 1470-1700 ,9789004231054;9004231056;9789004250741,Leiden : Brill,2013,no
JF1351 .T86,Lars Tummers,Policy alienation and the power of professionals : confronting new policies ,9781781954027;178195402X,Cheltenham,2013,no
JN12 .T38,Margit Tavits, Washington University, St Louis, MO,Post-communist democracies and party organization ,no
JF1061 .P68,edited  Joanne McEvoy and Brendan O'Leary,Power sharing in deeply divided places ,9780812245011;0812245016,Philadelphia,2013,no
JC574.2.U6 W382,Ellis Washington,The progressive revolution : liberal fascism through the ages Volume II 2009 writings ,9780761861119;0761861114;9780761861126,Lanham : University Press of America,2013,no
JQ1828.A91 K56,Paul W T Kingston,Reproducing sectarianism : advocacy networks and the politics of civil society in postwar Lebanon ,9781438447117;1438447116,Albany,2013,no
JZ6009.B35 S53,edited  Sharyl Cross [and others],Shaping South East Europe's security community for the twenty-first century : trust partnership integration ,9781137010193;1137010193,Basingstoke ; New York : Palgrave Macmillan,2013,no
JV7633 .A53,Bridget Anderson,Us and them? : the dangerous politics of immigration control ,9780199691593;0199691592,Oxford : Oxford University Press,2013,no
JC337 .C5636,edited  Lars Trägårdh, Nina Witoszek, and Bron Taylor,Civil society in the age of monitory democracy ,9780857457561;085745756X;9781782381495;178238149X;9780857457578;0857457578;9781782381501;1782381503,no
JZ1570.A5 V36,Louise G van Schaik,EU effectiveness and unity in multilateral negotiations : more than the sum of its parts? ,1137012544;9781137012548,Hampshire,2013,no
JQ3756.S8 K44,Asnake Kefale,Federalism and ethnic conflict in Ethiopia : a comparative regional study ,9780415615938;0415615933;9780203759530,Abingdon,2013,no
JV1060 .G68,edited  Casper Andersen and Andrew Cohen,The government and administration of Africa 1880-1939 ,9781848933187;1848933185,London : Pickering & Chatto,2013,no
JC251.S8 H57,Aggie Hirst,Leo Strauss and the invasion of Iraq : encountering the abyss ,9780415621625;0415621623;9780203380406,Milton Park,2013,no
JA71 .N538,Gerhart Niemeyer ; edited  Michael Henry,The loss and recovery of truth : selected writings ,9781587314728;158731472X;9781587314735;1587314738,South Bend,2013,no
JC311 .N32275,edited  John A Hall and Siniša Malešević,Nationalism and war ,9781107034754;1107034752;9781107610088;1107610087,Cambridge : Cambridge University Press,2013,no
JZ6009.A75 N48,edited  Michael Wills and Robert M Hathaway ; in association with The National Bureau of Asian Research,New security challenges in Asia ,1421410109;9781421410104,Washington,2013,no
JV6255 .O98,editors, Jennifer Hochschild, Harvard University, Jacqueline Chattopadhyay, University of North Carolina at Charlotte,no
E184.F4 S29,Lucy Mae San Pablo Burns,Puro arte : Filipinos on the stages of empire ,9780814744437;0814744435;9780814725450;0814725457;9780814708132;0814708137;9780814744499;0814744494,New York University Press,©2012,yes
E267 .O75,Andrew Jackson O'Shaughnessy,The men who lost America : British leadership; the American Revolution; and the fate of the empire ,9780300191073;0300191073,Yale University Press,2013,yes
E183 .A498,Scott Farris,American speeches.,1931082979;9781931082976;1931082987;9781931082983,Distributed to the trade in the United States by Penguin Putm; Library of America,2006,yes
E185.97 .C35,Horace R Cayton,Long old road : back to Black metropolis ,9781412811217;141281121X,Transaction Publishers,2010,yes
E184.A1 M895,Charles Murray,Coming apart : the state of white America; 1960-2010 ,9780307453426;0307453421;9780307453440;0307453448,Crown Forum,2012,yes
E185.61 .S6185,Nico Slate,Colored cosmopolitanism : the shared struggle for freedom in the United States and India ,9780674059672;0674059670,Harvard University Press,2012,yes
E183.7 .F78,Max Paul Friedman,Rethinking anti-Americanism : the history of an exceptiol concept in American foreign relations ,9780521864916;0521864917;9780521683425;0521683424,Cambridge University Press,2012,yes
E159 .B745,edited  Seth C Bruggeman,Born in the U.S.A. : birth; commemoration; and American public memory ,9781558499386;1558499385;9781558499379;1558499377,University of Massachusetts Press,2012,yes
E169.1 .A47218,edited  David A Hollinger and Charles Capper,The American intellectual tradition.,9780195392920;0195392922;9780195392937;0195392930,Oxford University Press,2011,yes
E175.5.F38 A3,Michael Fellman,Views from the dark side of American history ,9780807139028;0807139025;9780807139035;0807139033;9780807139042;0807139041;9780807139059;080713905X,Louisia State University Press,2011,yes
E164 .M37,Timothy Marr,The cultural roots of American Islamicism ,0521852935;052161807X;9780521852937;9780521618076,Cambridge University Press,2006,yes
E185.61 .F917,edited  Iwan Morgan and Philip Davies,From sit-ins to SNCC : the student civil rights movement in the 1960s ,9780813041513;0813041511;40021226068,University Press of Florida,2012,yes
E184.36.S65 M87,edited  Reza Aslan and Aaron J Hahn Tapper,Muslims and Jews in America : commolities; contentions; and complexities ,9780230108608;0230108601;9780230108615;023010861X,Palgrave Macmillan,2011,yes
E185.61 .B445,Robin Bernstein,Racial innocence : performing American childhood from slavery to civil rights ,9780814787076;081478707X;9780814787083;0814787088;9780814787090;0814787096;9780814789780;0814789781,New York University Press,2011,yes
E185.86 .M3125,Erik S McDuffie,Sojourning for freedom : black women; American communism; and the making of black left feminism ,9780822350330;0822350335;9780822350507;0822350505,Duke University Press,2011,yes
E185.93.L6 L675,edited  Michael S Martin ; foreword  Adam Fairclough,Louisia beyond black and white : new interpretations of twentieth-century race and race relations ,9781935754046;1935754041;40019383435,University of Louisia at Lafayette Press,2011,yes
E185.97.G3 C55,edited  John Hendrik Clarke with the assistance of Amy Jacques Garvey ; [new introduction  Runoki Rashidi],Marcus Garvey and the vision of Africa ,9781574780475;1574780476,Black Classic Press,2011,yes
E185.6 .B49,edited  Debra A Reid and Evan P Bennett ; foreword  Loren Schweninger,Beyond forty acres and a mule : African American landowning families since Reconstruction ,9780813039862;081303986X;40021084274,University Press of Florida,2012,yes
JN30 .E8424,edited  Jack Hayward and Rüdiger Wurzel,European disunion : between sovereignty and solidarity ,9780230367739;0230367739,Palgrave Macmillan,2012,yes
E185.18 .B35,Erica L Ball,To live an antislavery life : persol politics and the antebellum Black middle class ,9780820329765;0820329762;9780820343501;0820343501;40021501170,University of Georgia Press,2012,yes
E183.7 .G6,Julian Go,Patterns of empire : the British and American empires; 1688 to the present ,9781107011830;1107011833;9781107600782;1107600782,Cambridge University Press,2011,yes
E175.9 .M48,Denise D Meringolo,Museums; monuments; and tiol parks : toward a new genealogy of public history ,9781558499409;1558499407;9781558499393;1558499393;40021149849,University of Massachusetts Press,2012,yes
E185.615 .K276,H Roy Kaplan,The myth of post-racial America : searching for equality in the age of materialism ,9781610480055;1610480058;9781610480062;1610480066;9781610480079;1610480074,Rowman & Littlefield Education,2011,yes
E185.615 .D396,Michael C Dawson,Not in our lifetimes : the future of black politics ,9780226138626;0226138623,University of Chicago Press,2011,yes
E184.A65 N335,Nadine Naber,Arab America : gender; cultural politics; and activism ,9780814758861;081475886X;9780814758878;0814758878;9780814758885;0814758886;9780814759202;0814759203,New York University Press,2012,yes
E183.8.I55 M828,Donette Murray,US foreign policy and Iran ,9780415394062;0415394066;9780415581394;0415581397;9780203874431;0203874439,Routledge,2010,yes
E744 .L86,Geir Lundestad,The rise and decline of the American 'Empire' : power and its limits in comparative perspective ,9780199646104;0199646104,Oxford University Press,2012,yes
E185.62 .O223,edited  Andrew J Jolivette,Obama and the biracial factor : the battle for a new American majority ,9781447301011;1447301013;9781447301004;1447301005,Policy,2012,yes
E183.8.I57 K87,[compiled ] Lokman I Meho,The Kurdish question in U.S. foreign policy : a documentary sourcebook ,0313314357;9780313314353,Praeger,2004,yes
E184.S98 G835,Sarah MA Gualtieri,Between Arab and White : race and ethnicity in the early Syrian American diaspora ,9780520255326;0520255321;9780520255340;0520255348,University of California Press,2009,yes
E185.61 .D85,Mary L Dudziak,Cold War civil rights : race and the image of American democracy ,9780691152431;0691152438,Princeton University Press,2011,yes
E169.12 .S235,Lawrence R Samuel,The American dream : a cultural history ,9780815610076;0815610076;40021346724,Syracuse University Press,2012,yes
E185.2 .D38,Hugh Davis,We will be satisfied with nothing less : the African American struggle for equal rights in the North during Reconstruction ,9780801450099;0801450098,Cornell University Press,2011,yes
E185.61 .B44,Martin A Berger ; foreword  David J Garrow,Seeing through race : a reinterpretation of civil rights photography ,9780520268630;0520268636;9780520268647;0520268644,University of California Press,2011,yes
E169.12 .W486,Jon Wiener,How we forgot the Cold War : a historical journey across America ,9780520271418;0520271416;40021346615,University of California Press,2012,yes
E183.8.K87 C43,Marianna Charountaki,The Kurds and US foreign policy : intertiol relations in the Middle East since 1945 ,9780415587532;0415587530;9780203842614;0203842618,Routledge,2011,yes
E185.61 .R234,Leigh Renee Raiford,Imprisoned in a luminous glare : photography and the African American freedom struggle ,9780807834305;0807834300;40018873781,University of North Caroli Press,2011,yes
E185.61 .M23,Minkah Makalani,In the cause of freedom : radical Black intertiolism from Harlem to London; 1917-1939 ,9780807835043;0807835048,University of North Caroli Press,2011,yes
E185.61 .G278,Erik S Gellman,Death blow to Jim Crow : the tiol Negro Congress and the rise of militant civil rights ,9780807835319;0807835315,University of North Caroli Press,2012,yes
E183.8.F8 K85,Richard F Kuisel,The French way : how France embraced and rejected American values and power ,9780691151816;0691151814,Princeton University Press,2012,yes
E185.97.D73 A2,"WEB Du Bois""",Writings ,094045033X;0521324823;9780940450332,Library of America,1986,yes
E185.97.R63 P47,Tony Perucci,Paul Robeson and the Cold War performance complex : race; madness; activism ,9780472071685;0472071688;9780472051687;0472051687;9780472028207;0472028200,Eurospan distributor; University of Michigan Press,2012,yes
E184.P35 S25,Edward W Said,Out of place : a memoir ,1862070113;9781862070110,Granta Books,1999,yes
E185.625 .F544,Nicole R Fleetwood,Troubling vision : performance; visuality; and blackness ,9780226253022;9780226253039;0226253023;0226253031,The University of Chicago Press,2011,yes
E169.1,Leo Marx,The machine in the garden : technology and the pastoral ideal in America ,0195133501;9780195133509;019513351X;9780195133516,Oxford University Press,2000,yes
E183.7 .A64,Mark R Amstutz,Evangelicals and American foreign policy ,9780199987634;0199987637;9780199987641;9780199987658,Oxford University Press,2014,yes
E185.2 .H15,Steven Hahn,A tion under our feet : black political struggles in the rural South from slavery to the great migration ,0674011694;9780674011694;067401765X;9780674017658,Belkp,2003,yes
E185.2 .H15,Steven Hahn,A tion under our feet : black political struggles in the rural South from slavery to the great migration ,0674011694;9780674011694;067401765X;9780674017658,Belkp,2005,yes
E183.8.P19 C48 1,Kathleen Christison,Perceptions of Palestine : their influence on U.S. Middle East policy ,0520217187;9780520217188,University of California Press,1999,yes
E169.Z82 D568,edited  Cary Nelson and Dilip Parameshwar Gaonkar,Disciplirity and dissent in cultural studies ,0415913713;0415913721,Routledge,1996,yes
E169.Z82 M367,edited  Peter Gibian,Mass culture and everyday life ,0415916747;0415916755,Routledge,1996,yes
E184.37.W38 A3,Alisse Waterston,My father's wars : migration; memory; and the violence of a century ,9780415859172;0415859174;9780415859189;0415859182;9780203798744,Routledge,2014,yes
E185.61 .P22,Gyanendra Pandey,A history of prejudice : race; caste; and difference in India and the United States ,9781107029002;1107029007;9781107609389;1107609380,Cambridge University Press,2013,yes
E184.A1 C845,edited  Larry L Naylor,Cultural diversity in the United States ,9780897894784;0897894782;9780897894791;0897894790,Bergin & Garvey,1997,yes
E169.12 .L338,Alison Landsberg,Prosthetic memory : the transformation of American remembrance in the age of mass culture ,0231129262;0231129270,Columbia University Press,2004,yes
E184.C5 T85,May Paomay Tung,Chinese Americans and their immigrant parents : conflict; identity; and values ,0789010550;0789010569,Haworth Clinical Practice Press,2000,yes
E184.A1 A6363,edited  Naomi Zack,American mixed race : the culture of microdiversity ,0847680126;0847680134,Rowman & Littlefield,1995,yes
E169.12 .P65,edited  Arthur Asa Berger,The postmodern presence : readings on postmodernism in American culture and society ,076198979X;0761989803,AltaMira P,1998,yes
E169.Z83 F35,Susan Faludi,The terror dream : myth and misogyny in an insecure America ,9780312428006;0312428006,Picador,2008,yes
